,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,productCategory,priceDiff,percentSaved,answersPerQuestion,market,sku
0,149.96,343.0,14.0,4.857142857142857,26.0,120.0,staub,Saute Pans,193.04,0.562798833819242,4.615384615384615,France,1460922
1,284.95,407.0,118.0,4.957627118644068,29.0,169.0,staub,Dutch Ovens & Braisers,122.05,0.2998771498771499,5.827586206896553,France,298951
2,599.96,1679.0,10.0,4.9,18.0,103.0,scanpan,Cookware Sets,1079.04,0.6426682549136391,5.722222222222222,Other EMEA,1432574
3,149.96,357.0,134.0,4.902985074626866,41.0,266.0,staub,Dutch Ovens & Braisers,207.04,0.5799439775910364,6.487804878048781,France,3895943
4,199.96,324.95,66.0,4.727272727272728,16.0,127.0,le creuset,Dutch Ovens & Braisers,124.98999999999998,0.38464379135251575,7.9375,France,4482816
5,99.96,277.0,73.0,4.890410958904108,27.0,162.0,scanpan,Cookware Sets,177.04000000000005,0.6391335740072203,6.0,Other EMEA,4140703
6,199.96,421.0,21.0,4.476190476190476,7.0,57.0,scanpan,Cookware Sets,221.04,0.5250356294536817,8.142857142857142,Other EMEA,4140695
7,149.96,249.95,15.0,4.666666666666667,14.0,123.0,le creuset,Dutch Ovens & Braisers,99.98999999999998,0.4000400080016003,8.785714285714286,France,4468666
8,1299.95,1810.0,15.0,5.0,10.0,77.0,all-clad,Cookware Sets,510.05,0.2817955801104972,7.7,USA,462580
9,599.95,900.0,41.0,4.780487804878049,11.0,91.0,all-clad,Cookware Sets,300.0499999999999,0.33338888888888885,8.272727272727273,China,2758340
10,269.95,386.0,10.0,5.0,7.0,60.0,staub,Dutch Ovens & Braisers,116.05,0.30064766839378243,8.571428571428571,France,3657145
11,399.96,985.0,1.0,5.0,6.0,9.0,greenpan,Cookware Sets,585.04,0.5939492385786802,1.5,China,4711917
12,199.96,471.0,20.0,4.55,9.0,75.0,staub,Dutch Ovens & Braisers,271.04,0.575456475583864,8.333333333333334,France,501239
13,299.96,514.0,16.0,5.0,6.0,58.0,staub,Dutch Ovens & Braisers,214.04,0.4164202334630351,9.666666666666666,France,679035
14,259.96,700.0,9.0,4.111111111111111,9.0,71.0,sur la table,Cookware Sets,440.04,0.6286285714285714,7.888888888888888,China,2393346
15,589.95,589.95,2.0,4.0,2.0,2.0,mauviel,Saute Pans,0.0,0.0,1.0,France,1286947
16,49.99,149.0,48.0,4.833333333333333,12.0,85.0,greenpan,Skillets,99.01,0.6644966442953021,7.083333333333332,China,3494655
17,99.96,195.0,63.0,4.507936507936508,49.0,229.0,le creuset,Outdoor,95.04,0.4873846153846154,4.673469387755102,France,1953843
18,119.96,229.95,67.0,4.925373134328358,23.0,94.0,all-clad,Saucepans,109.99,0.4783213742117852,4.086956521739131,USA,819631
19,79.96,170.0,2.0,3.0,6.0,23.0,greenpan,Skillets,90.04,0.5296470588235295,3.8333333333333335,China,4711941
