topicnum,video_title,v30,er30
DIY,2,15356.5,4.22365
beauty packing,4,4003.0,4.7401
charging luggage,1,11785.0,0.0141
financial hacks,1,3250.0,0.5786
general packing,15,1026.0,4.0
holiday travel packing,1,23756.0,2.9396
luggage review,11,2244.0,3.8503
luggage tech,4,222896.5,0.0006
money saving hacks,1,3728.0,8.1999
packing hack reviews,1,253.0,
packing hacks,3,10589.0,3.6484
packing light,60,2137.0,4.5899
packing with kids,11,3269.0,4.4376
space hacks,5,3081.0,2.699
specific items,1,129953.0,2.5362
trip planning,1,7239.0,3.1784
what to pack,4,21475.5,3.2432499999999997
