,productLink,actualPrice,suggPrice,numReviews,avgRating,questions,answers,brand,producedIn,productCategory
0,https://www.surlatable.com/product/PRO-1460922/Staub+Perfect+Pan,149.96,343.0,14.0,4.857142857142857,26,120,: Staub,France,Saute Pans
1,https://www.surlatable.com/product/PRO-298951/Staub+Round+Cocotte,284.95,407.0,118.0,4.957627118644068,29,169,: Staub,France,Dutch Ovens & Braisers
2,https://www.surlatable.com/product/PRO-1432574/Scanpan+CTQ+10+Piece+Set,599.96,1679.0,10.0,4.9,18,103,: Scanpan,Denmark,Cookware Sets
3,https://www.surlatable.com/product/PRO-3895943/Staub+Heritage+All+Day+Pan+with+Domed+Glass+Lid,149.96,357.0,134.0,4.902985074626866,41,266,: Staub,France,Dutch Ovens & Braisers
4,https://www.surlatable.com/product/PRO-4482816/Le+Creuset+Signature+Deep+Round+Dutch+Oven,199.96,324.95,66.0,4.727272727272728,16,127,: Le Creuset,France,Dutch Ovens & Braisers
5,https://www.surlatable.com/product/PRO-4140703/Scanpan+CS+Plus+Skillet,99.96,277.0,73.0,4.890410958904108,27,162,: Scanpan,Denmark,Cookware Sets
6,https://www.surlatable.com/product/PRO-4140695/Scanpan+CS+Plus+Skillets,199.96,421.0,21.0,4.476190476190476,7,57,: Scanpan,Denmark,Cookware Sets
7,https://www.surlatable.com/product/PRO-4468666/Le+Creuset+Round+Dutch+Oven,149.96,249.95,15.0,4.666666666666667,14,123,: Le Creuset,France,Dutch Ovens & Braisers
8,https://www.surlatable.com/product/PRO-462580/All+Clad+Copper+Core+Ten+Piece+Set,"1,299.95",1810.0,15.0,5.0,10,77,: All-Clad,the USA,Cookware Sets
9,https://www.surlatable.com/product/PRO-2758340/All-Clad+HA1+Nonstick+13-Piece+Set,599.95,900.0,41.0,4.780487804878049,11,91,: All-Clad,China,Cookware Sets
10,https://www.surlatable.com/product/PRO-3657145/Staub+Shallow+Oval+Cast+Iron+Cocotte+with+Glass+Lid,269.95,386.0,10.0,5.0,7,60,: Staub,France,Dutch Ovens & Braisers
11,https://www.surlatable.com/product/PRO-4711917/GreenPan+Craft+13-Piece+Cookware+Set,399.96,985.0,1.0,5.0,6,9,: GreenPan,China,Cookware Sets
12,https://www.surlatable.com/product/PRO-501239/Staub+Coq+au+Vin,199.96,471.0,20.0,4.55,9,75,: Staub,France,Dutch Ovens & Braisers
13,https://www.surlatable.com/product/PRO-679035/Staub+Round+Cocotte,299.96,514.0,16.0,5.0,6,58,: Staub,France,Dutch Ovens & Braisers
14,https://www.surlatable.com/product/PRO-2393346/Sur+La+Table+Tri+Ply+Stainless+Steel+10+Piece+Set,259.96,700.0,9.0,4.111111111111111,9,71,: Sur La Table,China exclusively for Sur La Table,Cookware Sets
15,https://www.surlatable.com/product/PRO-1286947/Mauviel+M250b+Rondeau+with+Lid,589.95,0.0,2.0,4.0,2,2,: Mauviel,France,Saute Pans
16,https://www.surlatable.com/product/PRO-3494655/GreenPan+Champagne+Ceramic+Nonstick+Skillets,49.99,149.0,48.0,4.833333333333333,12,85,: GreenPan,China,Skillets
17,https://www.surlatable.com/product/PRO-1953843/Le+Creuset+Bistro+Grill,99.96,195.0,63.0,4.507936507936508,49,229,: Le Creuset,France,Grill Pans & Griddles
18,https://www.surlatable.com/product/PRO-819631/All+Clad+d3+Stainless+Steel+Saucepans,119.96,229.95,67.0,4.925373134328358,23,94,: All-Clad,the USA,Saucepans
